id,name,year,country,company
693,New Beetle,2000,Philippines,Volkswagen
694,Suburban 1500,2002,China,Chevrolet
695,Esteem,1998,Portugal,Suzuki
696,Firefly,1990,Ukraine,Pontiac
697,Custom Cruiser,1992,Philippines,Oldsmobile
698,Grand Vitara,2007,China,Suzuki
699,XF,2012,China,Jaguar
700,Sequoia,2011,Malaysia,Toyota
701,CLK-Class,2008,Indonesia,Mercedes-Benz
702,Esprit Turbo,1984,China,Lotus
703,Chariot,1996,United States,Mitsubishi
704,LaCrosse,2010,Philippines,Buick
705,Aztek,2002,Indonesia,Pontiac
706,Taurus,2007,Indonesia,Ford
707,Rio,2011,Hungary,Kia
708,MGB,1977,China,MG
709,5 Series,1993,Russia,BMW
710,Cirrus,1999,Greece,Chrysler
711,Eurovan,2003,Nigeria,Volkswagen
712,911,1990,Vietnam,Porsche
713,Fifth Ave,1992,Kazakhstan,Chrysler
714,Quattroporte,1985,Czech Republic,Maserati
715,LTD Crown Victoria,1986,Thailand,Ford
716,C8,2007,Colombia,Spyker
717,Bronco II,1986,Argentina,Ford
718,TL,2001,Indonesia,Acura
719,8 Series,1993,Indonesia,BMW
720,Phantom,2010,China,Rolls-Royce
721,Leganza,1999,Peru,Daewoo
722,FX,2009,China,Infiniti
723,928,1986,Gambia,Porsche
724,Exige,2004,Vietnam,Lotus
725,Corolla,1999,Portugal,Toyota
726,Corolla,1992,Madagascar,Toyota
727,RX,2002,China,Lexus
728,Vandura 3500,1992,South Korea,GMC
729,Previa,1994,Philippines,Toyota
730,F150,2010,Indonesia,Ford
731,Park Avenue,1996,Argentina,Buick
732,GTO,2005,Canada,Pontiac
733,Sidekick,1992,Indonesia,Suzuki
734,NX,1992,China,Nissan
735,Volare,1976,Greece,Plymouth
736,Concorde,1994,Haiti,Chrysler
737,Prizm,1994,Indonesia,Geo
738,Tracker,2003,Finland,Chevrolet
739,7 Series,2010,United States,BMW
740,Galant,1992,Colombia,Mitsubishi
741,Allroad,2003,China,Audi
742,Passat,1993,Mauritius,Volkswagen
743,A8,1999,Indonesia,Audi
744,Sierra,2012,South Africa,GMC
745,Aerostar,1996,Dominican Republic,Ford
746,Chariot,1990,Afghanistan,Mitsubishi
747,Frontier,2000,China,Nissan
748,Rally Wagon 2500,1993,Russia,GMC
749,Sierra,2010,Malaysia,GMC
750,Continental,1997,Macedonia,Lincoln
751,Legacy,2007,Sweden,Subaru
752,Mighty Max,1994,Slovenia,Mitsubishi
753,S80,2012,Indonesia,Volvo
754,Avalanche 1500,2003,Norway,Chevrolet
755,LR3,2007,Indonesia,Land Rover
756,A8,2009,Thailand,Audi
757,Corvette,1962,Czech Republic,Chevrolet
758,Excel,1987,Nigeria,Mitsubishi
759,3500,1996,Brazil,GMC
760,Jimmy,1997,Brazil,GMC
761,TrailBlazer,2003,Russia,Chevrolet
762,Golf III,1993,Indonesia,Volkswagen
763,Prelude,1999,Nicaragua,Honda
764,Sierra 3500,2001,China,GMC
765,760,2006,Philippines,BMW
766,CL,2002,Ireland,Acura
767,Avenger,2011,Russia,Dodge
768,Excursion,2002,Peru,Ford
769,Suburban 2500,2011,Indonesia,Chevrolet
770,9-7X,2006,Brazil,Saab
771,L-Series,2002,Portugal,Saturn
772,944,1986,China,Porsche
773,Golf,1993,United States,Volkswagen
774,LeSabre,2004,Colombia,Buick
775,Interceptor,1966,Albania,Jensen
776,Special,1962,Japan,Buick
777,Insight,2005,France,Honda
778,Quattroporte,2006,Czech Republic,Maserati
779,5 Series,2011,Uzbekistan,BMW
780,Camry,2002,Poland,Toyota
781,ES,2003,Philippines,Lexus
782,Sierra 1500,2006,China,GMC
783,2500 Club Coupe,1997,France,GMC
784,A4,2004,China,Audi
785,Sierra 2500,2006,Afghanistan,GMC
786,Bonneville,1965,Mongolia,Pontiac
787,A4,2007,Luxembourg,Audi
788,Grand Prix,1966,China,Pontiac
789,Aviator,2003,China,Lincoln
790,MX-5,1990,China,Mazda
791,SC,2005,Finland,Lexus
792,D150 Club,1992,Colombia,Dodge
793,Miata MX-5,2002,China,Mazda
794,Savana,2009,Peru,GMC
795,Yukon XL 2500,2008,Mongolia,GMC
796,Sportvan G30,1992,Serbia,Chevrolet
797,Ram 1500,2006,Argentina,Dodge
798,Cayman,2006,United States,Porsche
799,Prizm,1992,France,Geo
800,GTI,2008,Philippines,Volkswagen
801,CX-9,2012,France,Mazda
802,Town & Country,2002,Russia,Chrysler
803,Sidekick,1995,China,Suzuki
804,Eldorado,1994,Indonesia,Cadillac
805,Escalade EXT,2012,China,Cadillac
806,E-Class,1994,Pakistan,Mercedes-Benz
807,Golf,1976,Argentina,Volkswagen
808,1500,1997,United States,Chevrolet
809,rio,1996,China,Volkswagen
810,Ram Van B150,1992,Ecuador,Dodge
811,Ram,1994,China,Dodge
812,Legacy,2003,Malaysia,Subaru
813,DeVille,2000,Moldova,Cadillac
814,G,2011,China,Infiniti
815,X-Type,2002,China,Jaguar
816,Eclipse,1999,Philippines,Mitsubishi
817,Rio,2006,Russia,Kia
818,Lynx,1987,North Korea,Mercury
819,Sentra,2005,Uganda,Nissan
820,Grand Prix,1974,Indonesia,Pontiac
821,Legend,1989,Canada,Acura
822,F350,2004,Indonesia,Ford
823,Town Car,2003,Peru,Lincoln
824,Optima,2007,Thailand,Kia
825,Town Car,2008,Russia,Lincoln
826,Daewoo Magnus,2004,Albania,Suzuki
827,VUE,2010,Iraq,Saturn
828,Continental Mark VII,1992,Indonesia,Lincoln
829,Accord,1983,China,Honda
830,RX-7,1992,Indonesia,Mazda
831,Accord,2006,Ukraine,Honda
832,Miata MX-5,2009,Ukraine,Mazda
833,Genesis,2012,Philippines,Hyundai
834,Magnum,2006,North Korea,Dodge
835,TL,1997,Poland,Acura
836,E-Series,1993,China,Ford
837,Suburban 1500,2006,Japan,Chevrolet
838,Taurus,1998,Indonesia,Ford
839,Grand Vitara,2009,Costa Rica,Suzuki
840,ES,1995,Ukraine,Lexus
841,80,1989,Poland,Audi
842,Loyale,1991,China,Subaru
843,88,1996,China,Oldsmobile
844,240SX,1996,France,Nissan
845,V8 Vantage,2006,Indonesia,Aston Martin
846,Taurus,2005,China,Ford
847,Montero,1999,Iran,Mitsubishi
848,Galant,2002,China,Mitsubishi
849,S6,2010,Portugal,Audi
850,Corolla,1994,Haiti,Toyota
851,Forenza,2008,Russia,Suzuki
852,Corsica,1993,Portugal,Chevrolet
853,J,1995,Spain,Infiniti
854,Cutlass Supreme,1993,Indonesia,Oldsmobile
855,Amigo,1994,Greece,Isuzu
856,Miata MX-5,2001,Czech Republic,Mazda
857,XC70,2009,Iran,Volvo
858,Pajero,1988,China,Mitsubishi
859,Yukon XL 2500,2008,South Africa,GMC
860,Dakota,2005,Poland,Dodge
861,Aveo,2010,Poland,Chevrolet
862,Firebird,1987,China,Pontiac
863,Golf,2006,Poland,Volkswagen
864,IS F,2010,Slovenia,Lexus
865,100,1993,Japan,Audi
866,Probe,1993,Czech Republic,Ford
867,1500 Club Coupe,1998,China,GMC
868,Boxster,2002,Japan,Porsche
869,Sierra 2500,2000,Poland,GMC
870,F-Series Super Duty,2009,Philippines,Ford
871,Allroad,2005,Brazil,Audi
872,Express 3500,2001,Georgia,Chevrolet
873,IS-F,2008,Portugal,Lexus
874,Phantom,2011,Philippines,Rolls-Royce
875,A6,1995,Philippines,Audi
876,Savana 3500,2004,Indonesia,GMC
877,Galant,1992,Kazakhstan,Mitsubishi
878,Accord,2010,Indonesia,Honda
879,SC,2004,Taiwan,Lexus
880,Dakota,1992,Czech Republic,Dodge
881,Galant,2003,China,Mitsubishi
882,Express 2500,2003,Indonesia,Chevrolet
883,Mighty Max Macro,1994,Germany,Mitsubishi
884,Suburban 1500,1996,Poland,GMC
885,Sonoma,1994,Slovenia,GMC
886,Pajero,1991,China,Mitsubishi
887,Sable,1994,China,Mercury
888,XL-7,2007,China,Suzuki
889,Civic,1988,Indonesia,Honda
890,Equator,2011,Philippines,Suzuki
891,Escalade ESV,2010,Indonesia,Cadillac
892,Jetta,2006,Indonesia,Volkswagen
893,SL-Class,2001,Vietnam,Mercedes-Benz
894,Villager,1995,Colombia,Mercury
895,IS-F,2012,Indonesia,Lexus
896,Suburban 1500,1993,China,Chevrolet
897,A5,2008,Nigeria,Audi
898,Econoline E250,1996,Indonesia,Ford
899,Armada,2008,France,Nissan
900,ES,1994,Indonesia,Lexus
901,Civic,1990,Portugal,Honda
902,Jetta,2006,Russia,Volkswagen
903,C-Class,1995,Trinidad and Tobago,Mercedes-Benz
904,Seville,2003,China,Cadillac
905,X5,2005,Lebanon,BMW
906,Navajo,1992,Philippines,Mazda
907,SLK-Class,2006,Sri Lanka,Mercedes-Benz
908,Forester,2001,Russia,Subaru
909,T100,1998,Indonesia,Toyota
910,Legacy,2003,Tanzania,Subaru
911,E-Series,1963,Poland,Ford
912,FX,2003,Finland,Infiniti
913,Patriot,2007,Ukraine,Jeep
914,Starion,1989,China,Mitsubishi
915,Skylark,1994,Philippines,Buick
916,Typ-1,2009,China,Aptera
917,Roadster,2010,Albania,Tesla
918,Dakota,2009,Canada,Dodge
919,Sportvan G30,1995,Colombia,Chevrolet
920,W123,1977,Japan,Mercedes-Benz
921,MKS,2012,Luxembourg,Lincoln
922,Land Cruiser,1999,China,Toyota
923,Mini,1959,Angola,Austin
924,Chariot,1987,China,Mitsubishi
925,XJ Series,2005,Japan,Jaguar
926,Eurovan,2001,China,Volkswagen
927,X6 M,2010,Tanzania,BMW
928,F350,2007,Indonesia,Ford
929,G25,2011,Maldives,Infiniti
930,QX,1999,United States,Infiniti
931,Camaro,1979,Brazil,Chevrolet
932,Aerio,2004,Indonesia,Suzuki
933,Ram 2500,1996,Poland,Dodge
934,LX,2008,Poland,Lexus
935,XJ,2012,China,Jaguar
936,Intrigue,2000,China,Oldsmobile
937,LS,1992,Indonesia,Lexus
938,Focus,2000,Ukraine,Ford
939,Countach,1986,Kazakhstan,Lamborghini
940,Ion,2005,Kuwait,Saturn
941,960,1996,China,Volvo
942,Grand Am,1989,Greece,Pontiac
943,RAV4,2001,Mali,Toyota
944,M-Class,2002,China,Mercedes-Benz
945,Gemini,1986,Finland,Pontiac
946,Cayenne,2013,Liberia,Porsche
947,Loyale,1991,China,Subaru
948,Safari,1994,France,GMC
949,LHS,2001,Finland,Chrysler
950,MPV,2002,Greece,Mazda
951,CL-Class,2011,China,Mercedes-Benz
952,Familia,1989,Saint Lucia,Mazda
953,Quattroporte,2009,China,Maserati
954,Patriot,2012,France,Jeep
955,Xterra,2006,Philippines,Nissan
956,Outback,2012,Russia,Subaru
957,Envoy,2002,Russia,GMC
958,Q,1995,Argentina,Infiniti
959,A4,2001,Poland,Audi
960,Achieva,1992,Poland,Oldsmobile
961,Accent,2004,China,Hyundai
962,57,2010,Indonesia,Maybach
963,Golf,2006,Dominican Republic,Volkswagen
964,Firefly,1994,Canada,Pontiac
965,LS,2003,Dominican Republic,Lexus
966,Cordia,1986,Portugal,Mitsubishi
967,Durango,2005,Portugal,Dodge
968,LX,1998,Philippines,Lexus
969,Sebring,2004,Russia,Chrysler
970,MX-6,1997,Japan,Mazda
971,Challenger,2012,Pakistan,Dodge
972,350Z,2004,Japan,Nissan
973,Charger,1969,Russia,Dodge
974,Tiburon,2003,Peru,Hyundai
975,LX,2013,Haiti,Lexus
976,Capri,1985,Serbia,Mercury
977,Econoline E150,1993,Sweden,Ford
978,E350,2011,China,Ford
979,A5,2012,Indonesia,Audi
980,Rally Wagon 1500,1993,Nepal,GMC
981,911,2012,Indonesia,Porsche
982,X5,2010,Russia,BMW
983,G-Class,2008,Indonesia,Mercedes-Benz
984,Prius,2005,France,Toyota
985,300,2006,Japan,Chrysler
986,Continental GTC,2009,Hungary,Bentley
987,Windstar,1998,Portugal,Ford
988,Ram Van 2500,1996,Palestinian Territory,Dodge
989,Econoline E150,1998,China,Ford
990,Spectra,2000,United Arab Emirates,Kia
991,Econoline E150,1993,Norway,Ford
992,Corrado,1990,China,Volkswagen
993,CC,2013,China,Volkswagen
994,3500,1994,Thailand,GMC
995,Legacy,2000,China,Subaru
996,Escalade EXT,2006,Philippines,Cadillac
997,550,2006,China,BMW
998,Montego,2007,Japan,Mercury
999,850,1994,Jordan,Volvo
1000,3 Series,2005,Azerbaijan,BMW
